H C M X
 -0.58481803752492667        1.1421589845279634E-003  -2.5914151801913053E-004   1.9082697634362927E-003
 -0.61336818552759120        1.1506624333378901E-003  -3.8090617448704203E-004   2.1179951287606273E-003
 -0.64250711058764742        1.1917324705719157E-003  -1.4388308845718117E-003   2.3458773039399089E-003
 -0.67287042044966061        1.2127045678746451E-003   2.1091213447603551E-003   2.5415276303279656E-003
 -0.70421030394137352        1.2993412061317322E-003   1.9433414590458616E-003   2.8739308081867027E-003
 -0.73655564650524885        1.3297493615285205E-003  -1.6713035791084026E-003   3.3103559060837502E-003
 -0.77083341004936978        1.3775171433447753E-003  -1.4595360408130747E-003   4.0177252474348380E-003
 -0.80584657148436178        1.4333613599101236E-003  -1.7646895031602744E-004   4.2531940342225632E-003
 -0.84171493116230900        1.4718326859340936E-003  -4.4582188402017596E-003   4.8474290818131772E-003
 -0.87944751758889672        1.5667000426433653E-003  -3.4291494597027557E-004   6.3102768516575172E-003
 -0.92090292252159778        1.6322008509359609E-003  -4.7165042774969835E-004   7.3120061593732882E-003
 -0.96184063018741162        1.7251099560051664E-003  -7.3347557353924250E-004   9.9175692377668836E-003
  -1.0064425554544776        1.8603581992129303E-003   1.3897433478747731E-002   1.2923986748231853E-002
  -1.0527632407921641        1.9945410139228237E-003  -2.8849747852489568E-003   1.7379091308669426E-002
  -1.1054830996232343        2.1942587950436465E-003   1.3477782228855701E-002   2.4264233144019688E-002
  -1.1612199108494037        2.4809165823977963E-003  -7.7631184680287089E-003   3.5043433440960128E-002
  -1.2275480296381645        3.1930349067779140E-003  -1.6690307045179369E-002   8.1841287995144507E-002
  -1.3060075336443784        3.7594710705821655E-003   3.4073208306541196E-002  0.16125482959626450     
  -1.4227322279470263        4.3679767096054256E-003  0.38936741311520384       0.25744144778495903     
  -1.5159331005954870        3.5398646530322431E-003 -0.75638224170042800        9.9060405799694662E-003
  -1.5749430823242283        3.2098386607071205E-003  0.79702556640699151        9.1023114376143077E-003
  -1.6307364501243100        2.6516372319993486E-003  0.83956548630046102        7.3207343410445214E-003
  -1.6737730247709766        2.2608916789872424E-003 -0.86848913327795740        5.0808775678203855E-003
  -1.7134977637558684        1.9260994094576489E-003 -0.89285745425275775        2.5228579050657896E-003
  -1.7421568221504924        1.7648939305723310E-003 -0.90574932399528996        1.9817624713850401E-003
  -1.7709844574202729        1.4409279175708889E-003 -0.92088471481848377        1.1693424934551278E-003
  -1.7901169081061616        2.2898273925155976E-003  0.90707571248343344        1.9151889765786634E-002
  -1.8153469617398172        1.2905233231945701E-003 -0.93825349277607484        1.2737290723279227E-003
  -1.8275651113868812        2.1125219095416981E-003 -0.90519646789872055        3.8828652560172094E-002
  -1.8489601559434494        1.4314936123116517E-003 -0.94936852953143869        2.5834600993884793E-003
  -1.8642208856125810        9.5464878771389650E-004  0.95702219084092632        7.1778912181985621E-004
  -1.8765261998967495        1.1335699934686971E-003 -0.95882464845974724        2.1454424932408900E-003
  -1.8865643395520064        1.1454692882639783E-003  0.95908571242523510        4.1823929656817915E-003
  -1.8985033279134553        8.5969959568110710E-004 -0.96903490097813783        7.5219318104202681E-004
  -1.8392575528498345        5.1286256552254272E-003 -0.34735430952930318       0.38666551354816819     
  -1.9136323588739033        1.2195361510189962E-003 -0.96463532573006006        7.5811917931830619E-003
  -1.8962521900847653        3.6131565414709854E-003  0.79809474064717012       0.13095598611039960     
  -1.9064201545527504        3.2265778046536298E-003  0.84163004934378027        8.6785849027156359E-002
  -1.9156067242747832        3.1015659332496170E-003 -0.85583117345896631        9.0499977263524101E-002
  -1.9257731702588159        2.4269465249684430E-003  0.91049319504335746        3.6561974159943000E-002
  -1.9438704466583667        1.0969979263082408E-003 -0.96908755165534721        1.0615096149563907E-002
  -1.9493662031746288        9.6640112220613972E-004  0.97517071201571481        7.7081590551976165E-003
  -1.9356921610769942        2.6295670478697630E-003  0.89075139353551214        5.0294082191687850E-002
  -1.8894093329778117        4.0744852378340468E-003  0.54264189133440222       0.15434546087652362     
  -1.9597664628467533        1.0307062063290573E-003 -0.97273745104132381        1.2579876607918150E-002
  -1.9628086917676333        9.4567978010928755E-004  0.97329760602916304        1.2084919873277644E-002
  -1.9673484420252330        6.9104367296413116E-004  0.98405208026882252        4.2263462082117176E-003
  -1.9543089158790701        3.2510345749203751E-003  0.89615887395800886        8.9616823171939308E-002
  -1.9581580625425226        2.1670191336613520E-003 -0.89770152569636519        6.7577925024281060E-002
  -1.9742398416431295        6.9944209802796919E-004  0.98579671584749717        4.9029364990242907E-003
  -1.9764141592196023        7.0996826352498488E-004 -0.98653724939479337        4.7213827024442656E-003
  -1.9781412427682050        7.4612865056922217E-004  0.98995779053739386        2.5768382747003438E-003
  -1.9805059859042480        6.6428696464715387E-004 -0.99216611151943968        1.8159573180125399E-003
  -1.9819198242427229        6.4953464907269165E-004 -0.99251572901816454        1.9277887358647439E-003
  -1.8840534828137985        1.5866544626677026E-003  0.38808600926113179        7.4787024013618919E-002
  -1.9594065542637780        2.7503705847968796E-003 -0.86608149712789495        6.4991287717469204E-002
  -1.9379136330715909        3.4788084980132972E-003 -0.68071133987642873       0.14867455910522887     
  -1.9856955235909013        6.5663797320336670E-004  0.98709829758480350        6.3960311534712044E-003
  -1.9868816196239341        6.1960205134425905E-004  0.98793825317486028        5.7139277223908769E-003
  -1.9642448435590807        2.6061230852398864E-003 -0.79768790472354034       0.14472446110107151     
  -1.9596707710246983        2.7584118145558278E-003  0.82762808899920715        7.9874352275135174E-002
  -1.9535909165725305        3.0421137368690232E-003 -0.76346852853283975       0.11220186658325171     
  -1.9900452582377037        6.0940049478919178E-004  0.98955129687281962        5.2115358674710288E-003
  -1.9911133137856838        5.3141234587394948E-004  0.99342718382934769        2.1872691394628774E-003
  -1.9912702091088301        5.6903772712280087E-004  0.98957288268065291        5.5826451078345718E-003
  -1.9912699607913746        6.8335873312319606E-004  0.98878339424137440        5.7054178321772619E-003
  -1.9720424901013645        2.2214552283181810E-003  0.83763984247843770       0.11552735187942664     
  -1.9933244472044638        5.5988378687654716E-004  0.99481862147698119        2.2662198350684726E-003
  -1.9152145376202572        2.3215660911808378E-003 -0.42831364006917388       0.13744665640913184     
  -1.9741380690414179        2.1989469913235027E-003  0.83303084733549815       0.11676267835488940     
  -1.9949613285193635        4.6704083869375523E-004  0.99700545743579838        1.0348829894265554E-003
  -1.9930517617836589        7.5322336353256247E-004 -0.98524235705444563        9.6616123278343569E-003
  -1.9949561118075543        5.4113333474470338E-004  0.99383931991180152        2.9173083137914446E-003
  -1.8944042314767837        3.5587205599707517E-004 -0.19794421587978664        8.0786533130849963E-002
  -1.9961839404941206        3.9939320951365431E-004  0.99714989240647522        9.6353269706273004E-004
