H C M X
  -1.9522763480585992        4.4161505446242977E-003 -0.98681987174553032        4.2274678195652893E-004
  -1.9561980960544192        4.0548223833658525E-003 -0.98790719791855286        4.3521243912092444E-004
  -1.9598251280530821        3.6411748952716039E-003 -0.98900104589410354        3.4942341937271859E-004
  -1.9636396240515921        3.3649877113801629E-003  0.98984472697144577        5.4434544340042912E-004
  -1.9664934240487419        3.1194396105815869E-003 -0.99066973649577461        5.1894836608656902E-004
  -1.9695555480451594        2.7733831825691446E-003  0.99162802904995107        4.0065563722435638E-004
  -1.9725258400461569        2.4404306681899968E-003  0.99263320308221170        2.0353652423676927E-004
  -1.9742683400431167        2.2954334884741634E-003 -0.99309337516560781        1.9514250882646245E-004
  -1.9770573160390570        2.0699889003958916E-003  0.99384224256956966        1.9877602757512047E-004
  -1.9787484520395835        1.8883049448685796E-003 -0.99432624023984095        1.5801466442444401E-004
  -1.9800689040364035        1.8414694494777173E-003  0.99452787581810631        3.4021134085338023E-004
  -1.9818074760356255        1.6287937790404605E-003  0.99517455960897949        1.4195574763642416E-004
  -1.9838102000340152        1.4526768793734490E-003 -0.99570657354868108        1.3429770423023513E-004
  -1.9846849560321111        1.4085381697270805E-003  0.99594907101010177        1.3668991546167408E-004
  -1.9861533040283732        1.2532497566666301E-003 -0.99633279051192758        1.2118709750119638E-004
  -1.9872608160264549        1.1251505769402925E-003  0.99665553635733950        9.3001839295392408E-005
  -1.9880762920254178        1.0663606528309444E-003 -0.99687057157108805        8.9814657806219778E-005
  -1.9892138600236762        9.7089448692821989E-004  0.99716411956452766        9.2413666884838541E-005
  -1.9900389200241593        8.8399090114643641E-004  0.99739618570645749        7.6180775688716729E-005
  -1.9906427320202540        8.5237860231845985E-004  0.99753854048401103        8.0908742599472561E-005
  -1.9915208240201372        8.1355247543690723E-004 -0.99774119647933524        1.1752980420542958E-004
  -1.9922856560183098        6.9442387992912913E-004  0.99799899079426413        5.5157752810952587E-005
  -1.9928430960168273        6.9279210951567194E-004 -0.99805887896417178        1.2873439788951835E-004
  -1.9934097400172808        6.2395961155070623E-004  0.99825492295991947        7.6355369545533236E-005
  -1.9939744480148580        5.7666482817175790E-004 -0.99835462441235334        1.0943393675577617E-004
  -1.9943717320133085        5.9074190525931769E-004  0.99828046841401197        3.2591704496465201E-004
  -1.9948727560130863        4.8886379310797423E-004  0.99861288767926204        1.0777619108315317E-004
  -1.9953043360115397        4.3370972739964486E-004 -0.99878723936168368        3.4698584704395685E-005
  -1.9956279920121875        4.0887332901595741E-004 -0.99886361135997959        4.0893111497020129E-005
  -1.9960264680101987        3.6482491140787943E-004  0.99897157135757175        3.2651062852773194E-005
  -1.9962593240104192        3.6936136858489732E-004 -0.99901553371691476        4.9479101968175065E-005
  -1.9964575440086749        3.4362567602919114E-004 -0.99904581677152737        6.0808292307368284E-005
  -1.9969601840081583        2.8649386796741894E-004  0.99919516151915189        4.0461334498864687E-005
  -1.9969858280079871        3.1020895639111146E-004  0.99915575444661509        8.0626525692628626E-005
